id,comment,star,label,kategori
1,İyi sadece bi tık geniş ama rahat,5,1,ayakkabı
2,Fiyatına göre gayet iyi ve kaliteli duruyor. Ufak tefek defolar mevcut tabi orjinal olmadığından ama göze batan çok bir şey yok,5,1,ayakkabı
3,Fiyata göre performans gayet iyi. Öneririm,4,1,ayakkabı
4,İndirimde denemek amaçlı aldım. Ederi 200 tl yi geçmez. Kokulu taban. Kalitesi eh işte. Bir daha alacağımı sanmıyorum.,3,0,ayakkabı
5,Eşim ayakkabı konusunda baya seçiçi öyle her ayakkabıyı alıp giymez ama burdan ikinci alışımız gayet rahat ediyor kargo özenli ve sıkıntısız olarak zamanında geldi elinize emeğinize sağlık hayırlı işler bol kazançlar dilerim,5,1,ayakkabı
6,"ürünü beğendim, tek sorun neden kutusu yırtık ve açık geldi onu anlamadım ? ayakkabı büyük ihtimal reyon ayakkabısı idi onu gönderdiniz bana",5,1,ayakkabı
7,İlkin biraz sıktı ama açıldı gayet kullanışlı ve dayanıklı sanırım göreceğiz,5,1,ayakkabı
8,Gayet kaliteli kullanışlı bir ayakkabı bir kaçgün içinde elime ulaştı teşekkürler.,5,1,ayakkabı
9,Çok süper bir ürün hemde çok uygun fiyatlı vallahi 2 tane aldım,5,1,ayakkabı
10,Kalıbı biraz büyük ama kalitesi belli,5,1,ayakkabı
11,Resimdeki göründüğü gibi geldi.paketleme guzeldi.Kargom hızlı geldi.Ayak numaranizin dışında 1 numara büyük alina bilir.,4,1,ayakkabı
12,Tek kelime ile parasının hakkını veriyor,5,1,ayakkabı
13,Kalite iyi değil tabanı hiç iyi değil renk ayağına geçiyor,5,0,ayakkabı
14,Gerçekten çok güzel hayırlı işler dilerim,5,1,ayakkabı
15,ürünler yeni ulaştı kaliteli gözüküyor giymedim bu markadan daha önce giymiş tim kaliteliydi,4,1,ayakkabı
16,Fiyatına göre güzel sadece renk verdi,4,0,ayakkabı
17,Çok begenerek aldık aldığımız gıbı geldı tam kalıp alın,5,1,ayakkabı
18,Ürün güzel kaliteli ama biraz ağır bi ürün ve 1 numara değil 2 numara küçük alınmalı kalıp çok büyük,4,1,ayakkabı
19,Güzel ayakkabı kalitesi de iyi alınır,4,1,ayakkabı
20,Ayakkabı güven veren bir yapıya sahip ayakta fazla durduğunuzda yoruyor bu konuda çalışma yapılır ve tabanlıkları daha rahat olursa emin olun daha değerli bir ürün haline gelir yorumları mağazaya iletiniz lütfen,5,0,ayakkabı
21,Beğendim benim favori ayakkabım zaten teşekkür ederim,5,1,ayakkabı
22,Kaliteli,5,1,ayakkabı
23,Tam numara alin çok kaliteli bir urun,5,1,ayakkabı
24,Resmen defolu geldi ayakkabı kesinlikle almayın babalar günü için babama aldım madur ettiniz iadem umarım hemen alınır,5,0,ayakkabı
25,Derisi çok güzel çok rahat eşime aldım normal kalıp ayak numarası neyse onu aldım tam oldu f/p,5,1,ayakkabı
26,Hakiki deri olan hers eyi severim,5,1,ayakkabı
27,1 numara küçük alınabilir . Kaliteli güzel ayakkabı,5,1,ayakkabı
28,Süper,5,1,ayakkabı
29,Köye bile götürdüm çamura girdim yıkadım valla yine bir şey olmadı,5,1,ayakkabı
30,beklediğim gibi geldi. fiyat performans ürünü.,5,1,ayakkabı
